name,category,gender,follower_count,platform
Sarah Johnson,Fashion,female,125000,instagram
Mike Chen,Tech,male,89000,youtube
Emma Davis,Beauty,female,210000,instagram
Alex Rodriguez,Fitness,male,156000,instagram
Lisa Wang,Food,female,95000,youtube
David Kim,Tech,male,78000,twitter
Maria Garcia,Fashion,female,189000,instagram
James Wilson,Fitness,male,112000,youtube
Sophie Brown,Beauty,female,145000,instagram
Ryan Lee,Tech,male,67000,linkedin
Jessica Martinez,Beauty,female,178000,instagram
Carlos Rodriguez,Fitness,male,134000,youtube
Amanda Thompson,Fashion,female,167000,instagram
Kevin Zhang,Tech,male,92000,youtube
Rachel Green,Food,female,89000,instagram
Marcus Johnson,Fitness,male,145000,youtube
Natalie Chen,Beauty,female,198000,instagram
Brandon Lee,Tech,male,76000,twitter
Isabella Garcia,Fashion,female,156000,instagram
Daniel Kim,Fitness,male,123000,youtube
Olivia Wilson,Beauty,female,187000,instagram
Christopher Brown,Tech,male,89000,linkedin
Sophia Davis,Food,female,112000,instagram
Andrew Miller,Fitness,male,167000,youtube
Victoria Taylor,Beauty,female,234000,instagram
Jonathan Anderson,Tech,male,98000,youtube
Mia Rodriguez,Fashion,female,145000,instagram
Robert Chen,Fitness,male,134000,youtube
Grace Lee,Beauty,female,198000,instagram
Michael Johnson,Tech,male,87000,twitter
Emily Wang,Food,female,123000,instagram
Thomas Brown,Fitness,male,156000,youtube
Ava Garcia,Beauty,female,187000,instagram
William Kim,Tech,male,92000,linkedin
Chloe Martinez,Fashion,female,167000,instagram
Ethan Wilson,Fitness,male,145000,youtube
Zoe Anderson,Beauty,female,198000,instagram
Alexander Lee,Tech,male,89000,youtube
Madison Taylor,Food,female,134000,instagram
Benjamin Chen,Fitness,male,167000,youtube
Lily Johnson,Beauty,female,187000,instagram
Samuel Brown,Tech,male,76000,twitter
Hannah Davis,Fashion,female,156000,instagram
Nathan Wilson,Fitness,male,134000,youtube
Aria Garcia,Beauty,female,198000,instagram
Isaac Kim,Tech,male,92000,linkedin
Scarlett Martinez,Food,female,123000,instagram
Owen Lee,Fitness,male,167000,youtube
Luna Anderson,Beauty,female,187000,instagram
Caleb Taylor,Tech,male,89000,youtube
Penelope Chen,Fashion,female,145000,instagram
Gabriel Wilson,Fitness,male,134000,youtube
Riley Brown,Beauty,female,198000,instagram
Leo Johnson,Tech,male,87000,twitter
Nora Davis,Food,female,156000,instagram 